제품 이름,베스트 리뷰,별점,무첨가,순함,자극,자극 맥락
일리윤 세라마이드 아토 탑투토 워시,"아이랑 함께 사용할 순한제품 알아보다
샀어요~
로션 크림도 사용하고있어서 믿고 씁니다^^",4,False,True,False,
일리윤 세라마이드 아토 탑투토 워시,한통이 찌그러져서 왔어요ㅠ,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,우리 가족 바디워시로 오랫동안 사용중인데 세정력도 좋고 샤워 후 피부가 촉촉해서 좋아요.,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,거품 잘 나고 샴푸 바디워시 다 가능해서 편하네요 향 없어서 좋아요,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,"순하고 거품도 풍성하고 피부가 부드럽다는
느낌이 좋아요",5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,가족 다같이 쓸 바디샤워 찾았는데 거품도 잘 나고 매끈매끈 넘 좋아요,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,아기랑 저랑 겸용으로 샀는데 바디용으론 아주좋고 샴푸는 지성이라 그런지 쏘쏘에요.,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,늘 사용하던 제품이에요 일리윤 가성비 굿굿,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,아이가어릴 때부터 탑투토로 잘 쓰고 있어요. 자극없이 깨끗하게 넘. 좋아요.,5,False,False,True,자극없음(긍정)
일리윤 세라마이드 아토 탑투토 워시,요거만 써요 대박 좋아요,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,거품잘나고 촉촉한데 눈에 들어가면 많이 따가웠어요,4,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,인위적향이 없는 제품 구매했어요 추천합니다,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,아이와 함께 사용하기 좋아요,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,"좋아서 아이들 씻겨줄때 쓴지 몇년 됐는데 앞으로도 계속 쓸듯 해요. 순하고 무향이라 좋아요.
어제 밤에 주문했는데 바로 배송와서 더 좋아요.",5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,버블아토세라는 바디씻기좋고 이거는 샴푸최고 번갈아써요 최애바쓰,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,구매했어요 좋아요 기대됩니다,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,"원래 사용하던 바디로션 라인인데
순하고 아기들도 사용 가능한 제품이라
아기태어나면 같이 쓰려구 샀어요
거품은 가볍고 퐁실퐁실한 느낌이구요
세정력 좋고 잔여감없이 잘 씻기고 순해요",5,False,True,False,
일리윤 세라마이드 아토 탑투토 워시,"아직 사용전입니다
아이 로션을 일리윤 쓰다가 바디워시가 다 떨어져서 일리윤으로 한번 진행해봅니다",5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,알러지있는 아이 쓰기 편하고 좋습니다.,4,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,아이랑 함께 쓰려고 주문했어여! 성분 좋아서 온가족용으로 너무 좋아여,5,True,False,False,
일리윤 세라마이드 아토 탑투토 워시,"부모님 댁에 사드렸어요
좋다고 하시네요",5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,"기존에 용기가 무광이었던걸로 기억하는데
속이비쳐서 깜짝놀랐네요
잘쓰겠습니다.",5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,배송 빠흐소 좋라요 추천합니다,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,잘 사용하고 있어요.,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,좋습니다 만족합니다,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,잘 쓰겠습니다 좋은 제품 감사합니다,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,수영갈때 사용하려고 샀습니다,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,올인원이라 좋고 순해서 더 좋아요,5,False,True,False,
일리윤 세라마이드 아토 탑투토 워시,민감한 피부에도 안심!!,5,True,False,False,
일리윤 세라마이드 아토 탑투토 워시,임산부라 무향으류 주문했어요,4,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,항상 사용하는 제품이에요,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,이걸로 샴푸함. 성분 좋음. 계속 내주세요 고고,5,True,False,False,
일리윤 세라마이드 아토 탑투토 워시,자주시키는품목이라익숙함,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,항상 잘 쓰고 있어요!,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,헬스장에서 한개로 끝내기 좋아요,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,요즘 피부가 뒤집어져서 바디제품을 바꿔봤습니다,3,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,"군대 갈 아들 줄려고 구매했어요.
가기전에 사용해보더니 샴푸로도 세안용으로도 괜찮다고 만족해하네요.
우~~~나 다~ 살려다가 일리윤으로 했는데 일리윤 역시 최고네요",5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,아이가 좋아서 사는 바디워시 제품입니다.,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,촉촉하고 순해서 항상 잘 애용하고 있어요,4,False,True,False,
일리윤 세라마이드 아토 탑투토 워시,늘 사용하는 제품인데 네이버로 빠르게 배송받을 수 있어서 너무 좋아요^^,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,순한 것 같습니다. 좋아요.,5,False,True,False,
일리윤 세라마이드 아토 탑투토 워시,항상 만족하며 사용하고 있습니다.,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,"촉촉한 느낌이어서 만족 합니다
여러번 사용함",5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,무향이라 아주 좋습니다,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,욕실 깔금간소하게 리뉴얼하려고 바꿨어요. 씻는거 하나로 통일되니 너무조아요,5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,성분이 순한거같아요,5,True,True,False,
일리윤 세라마이드 아토 탑투토 워시,"할인하기에 미리 구매해두었어요!!
온가족이 사용하는 제품이다보니 금방 사용합니다!!
건조함 전혀 못느끼고 순해서 좋아요",5,False,True,False,
일리윤 세라마이드 아토 탑투토 워시,"아이 바디워시로 계속 쓰고 있어요
저자극적인거 같아 좋습니다",5,False,False,True,자극없음(긍정)
일리윤 세라마이드 아토 탑투토 워시,"아토피 피부의 크렌저로 좋다는 리뷰를 보고 구매했어요
향도 거의 없는 것같고 거품도 부드러워서 헬스장 크렌저 대신해서 3번 사용해 봤는데 만족합니다",5,False,False,False,
일리윤 세라마이드 아토 탑투토 워시,"가려움증이 심해 친구추천으로 구매했어요
잘 사용해볼게요",5,False,False,False,
